"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/27/2023","AQS","361099991","1","0.041","ppm","38","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/28/2023","AQS","361099991","1","0.04","ppm","37","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/01/2023","AQS","361099991","1","0.038","ppm","35","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/02/2023","AQS","361099991","1","0.041","ppm","38","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/03/2023","AQS","361099991","1","0.04","ppm","37","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/04/2023","AQS","361099991","1","0.042","ppm","39","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/05/2023","AQS","361099991","1","0.043","ppm","40","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/06/2023","AQS","361099991","1","0.04","ppm","37","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/07/2023","AQS","361099991","1","0.044","ppm","41","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/08/2023","AQS","361099991","1","0.04","ppm","37","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/09/2023","AQS","361099991","1","0.037","ppm","34","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/10/2023","AQS","361099991","1","0.033","ppm","31","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/11/2023","AQS","361099991","1","0.039","ppm","36","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/12/2023","AQS","361099991","1","0.04","ppm","37","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/13/2023","AQS","361099991","1","0.039","ppm","36","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/14/2023","AQS","361099991","1","0.04","ppm","37","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/15/2023","AQS","361099991","1","0.049","ppm","45","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/16/2023","AQS","361099991","1","0.054","ppm","50","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/17/2023","AQS","361099991","1","0.045","ppm","42","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/18/2023","AQS","361099991","1","0.043","ppm","40","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/19/2023","AQS","361099991","1","0.044","ppm","41","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/20/2023","AQS","361099991","1","0.047","ppm","44","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/21/2023","AQS","361099991","1","0.051","ppm","47","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/22/2023","AQS","361099991","1","0.048","ppm","44","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/23/2023","AQS","361099991","1","0.034","ppm","31","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/24/2023","AQS","361099991","1","0.04","ppm","37","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/25/2023","AQS","361099991","1","0.045","ppm","42","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/26/2023","AQS","361099991","1","0.05","ppm","46","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/27/2023","AQS","361099991","1","0.046","ppm","43","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/28/2023","AQS","361099991","1","0.045","ppm","42","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/29/2023","AQS","361099991","1","0.05","ppm","46","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/30/2023","AQS","361099991","1","0.047","ppm","44","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"03/31/2023","AQS","361099991","1","0.041","ppm","38","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"04/02/2023","AQS","361099991","1","0.047","ppm","44","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"04/03/2023","AQS","361099991","1","0.05","ppm","46","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"04/04/2023","AQS","361099991","1","0.041","ppm","38","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"04/05/2023","AQS","361099991","1","0.046","ppm","43","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"04/06/2023","AQS","361099991","1","0.044","ppm","41","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"04/07/2023","AQS","361099991","1","0.047","ppm","44","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"04/08/2023","AQS","361099991","1","0.046","ppm","43","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
