"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/27/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/28/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/29/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/30/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/31/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/01/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/02/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/03/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/04/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/05/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/06/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/07/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/08/2023","AQS","051190007","2","0.7","ppm","8","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/09/2023","AQS","051190007","2","0.7","ppm","8","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/10/2023","AQS","051190007","2","0.7","ppm","8","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/11/2023","AQS","051190007","2","0.8","ppm","9","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/12/2023","AQS","051190007","2","0.8","ppm","9","PARR","17","71.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/13/2023","AQS","051190007","2","0.2","ppm","2","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/14/2023","AQS","051190007","2","0.3","ppm","3","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/15/2023","AQS","051190007","2","0.2","ppm","2","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"04/16/2023","AQS","051190007","2","0.2","ppm","2","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
